,Date,PMS,AGO,Kero,Price Per Barell,Exchange rates,Time,Exrates,Int Price in KSH,Local Price in KSH
0,14/01/2010,94.03,87.45,75.83,89.15,,2010-01-14,80.5680045454546,45.1738214165237,85.77
1,14/01/2011,95.67,88.71,77.51,89.17,,2011-01-14,81.0290714285714,45.4425301841869,87.2966666666667
2,14/02/2011,98.08,91.72,79.52,88.58,,2011-02-14,81.4734,45.3893947924528,89.7733333333333
3,14/03/2011,102.44,94.53,83.97,102.86,,2011-03-14,84.2055086956522,54.4740793989609,93.6466666666667
4,14/04/2011,111.17,107.52,90.91,109.53,,2011-04-14,83.8898157894737,57.7890032919563,103.2
5,14/05/2011,115.35,108.02,92.61,100.9,,2011-05-14,85.4330095238095,54.2150356034741,105.326666666667
6,14/06/2011,114.93,106.3,85.71,96.26,,2011-06-14,89.049280952381,53.9112187702905,102.313333333333
7,14/07/2011,115.39,106.12,86.16,97.3,,2011-07-14,89.8977333333333,55.0128896436059,102.556666666667
8,14/08/2011,117.22,108.97,88.96,86.33,,2011-08-14,92.7859590909091,50.3786908699256,105.05
9,14/09/2011,117.75,108.77,88.29,85.52,,2011-09-14,96.3572636363636,51.8268753847913,104.936666666667
10,14/10/2011,120.5,110.94,89.95,86.32,,2011-10-14,101.26979,54.9786683823899,107.13
11,14/11/2011,124.13,114.3,94.87,97.16,,2011-11-14,93.6755636363636,57.2422500811893,111.1
12,14/12/2011,119.06,110.98,90.74,98.56,,2011-12-14,86.662845,53.7200629132075,106.926666666667
13,14/01/2012,111.95,107.9,87.11,100.27,,2012-01-14,86.3425666666667,54.4501205010482,102.32
14,14/02/2012,111.32,105.29,83.74,102.2,,2012-02-14,83.1761142857143,53.4628860377359,100.116666666667
15,14/03/2012,111.69,105.12,84.13,106.16,,2012-03-14,83.0009875,55.417514672956,100.313333333333
16,14/04/2012,118.5,108.8,86.28,103.32,,2012-04-14,83.1877894736842,54.0563673485601,104.526666666667
17,14/05/2012,121.43,108.44,87,94.66,,2012-05-14,84.4618454545455,50.2840144070898,105.623333333333
18,14/06/2012,117.67,105.51,83.2,82.3,,2012-06-14,84.78874,43.8875050440251,102.126666666667
19,14/07/2012,108.46,97.51,74.4,87.9,,2012-07-14,84.1447181818182,46.5177404288165,93.4566666666667
20,14/08/2012,106.48,97.08,73.97,94.13,,2012-08-14,84.0754454545455,49.7737212618639,92.51
21,14/09/2012,108.95,101.07,79.65,94.51,,2012-09-14,84.6133,50.2943583836478,96.5566666666667
22,14/10/2012,115.26,106.11,86.01,89.49,,2012-10-14,85.1116086956522,47.903382780968,102.46
23,14/11/2012,113.68,105.85,84.57,86.53,,2012-11-14,85.6285681818182,46.6002516023442,101.366666666667
24,14/12/2012,112.61,105.79,86.44,87.86,,2012-12-14,85.9939888888889,47.5184393948288,101.613333333333
25,14/01/2013,111.6,103.99,83.86,94.76,,2013-01-14,86.8996136363637,51.7899835734706,99.8166666666667
26,14/02/2013,113.57,106.2,85.93,95.31,,2013-02-14,87.44553,52.4178205301887,101.9
27,14/03/2013,117.69,107.37,88.54,92.94,,2013-03-14,85.8176421052632,50.162840611718,104.533333333333
28,14/04/2013,117.65,106.44,83.83,92.02,,2013-04-14,84.189045,48.7237479301887,102.64
29,14/05/2013,113.24,101.06,79.46,94.51,,2013-05-14,84.1461772727273,50.0166994594054,97.92
30,14/06/2013,108.18,99.16,81.52,95.77,,2013-06-14,85.48845,51.4920053867924,96.2866666666667
